id;name_ar;name_en;code;status
1;Granite;Kuwaiti Dinar connect emulation;Liaison De-engineered clicks-and-mortar;69515
2;Borders monitoring;extensible functionalities;Uzbekistan Leone programming;74610
3;interfaces FTP;generate circuit CSS;solutions client-server discrete;10484
4;Berkshire;Borders Industrial;View;30704
5;Maryland Hat;Awesome Soft Keyboard Costa Rican Colon;withdrawal Avon hierarchy;73740
6;application Argentina;Mobility;red secondary;14787
7;mobile;Personal Loan Account disintermediate Union;Sleek Cross-group invoice;29770
8;connect protocol;programming SDD;Liberia Internal Focused;50786
9;Auto Loan Account;wireless Car ivory;Sri Lanka Rupee;86788
10;Credit Card Account Table;Handcrafted Communications;Small Plastic Shirt function Tunnel;72974
