id;name_ar;name_en;code;status
1;Engineer Connecticut deposit;card;Fantastic Cotton Chicken;46301
2;hack;Italy;Soft bi-directional;27297
3;feed Computer;best-of-breed;deposit Fantastic Soft Chicken strategy;80675
4;hacking;deposit Personal Loan Account Applications;approach;36736
5;Borders payment;CSS;Savings Account Chief copy;7948
6;SMS conglomeration;regional open-source Brazilian Real;back-end Auto Loan Account;48592
7;Buckinghamshire;Awesome Soft Sausages blue;reintermediate Buckinghamshire Berkshire;24613
8;bypassing tan;Avon Ball override;Boliviano Mvdol;55494
9;Rupiah redundant productize;Mauritius Rupee Argentine Peso withdrawal;Belize Dollar;52293
10;teal;Soft global Rhode Island;Graphical User Interface Soap;18538
