id;name_ar;name_en;code;status
1;web services;Lights HDD;productize;74183
2;Manager;deposit Implementation Fish;transmitting overriding;18686
3;Togo Yemeni Rial interfaces;index Strategist Computer;sensor Jewelery Neck;66743
4;connecting port deposit;collaborative;Handmade Cotton Car;83219
5;Refined Cotton Table;Investor Designer Shirt;Investment Account Samoa;83664
6;Ports Tasty;New Mexico Phased;Awesome Frozen Chips;84478
7;purple cross-platform Avon;index;5th generation toolset transmit;56231
8;orchid Bacon Curve;value-added;San Marino Auto Loan Account;94245
9;Buckinghamshire Cotton Sausages;Quality;Sports Supervisor;43432
10;IB RSS COM;Plastic bricks-and-clicks bluetooth;Metal;94275
