id;name_ar;name_en;code;status
1;embrace Electronics turquoise;input;Licensed Soft Gloves real-time;68135
2;Guinea Franc 24/7;Antarctica (the territory South of 60 deg S);Cotton user-centric Handcrafted Concrete Sausages;36403
3;Denmark;hack;Quality Rustic;38997
4;copying next generation;impactful Senior navigating;leverage tan coherent;86607
5;Savings Account client-server;Soft;Path productize teal;776
6;quantifying wireless USB;Cambridgeshire Legacy Incredible;Wooden Underpass;91584
7;collaborative Montenegro definition;Generic Granite Pants;Designer payment;34159
8;Strategist Incredible Loop;Dominican Republic cross-platform JSON;Corporate Buckinghamshire;29233
9;systems Fantastic Soft Table navigate;Nebraska Communications Unbranded;ability Director;81471
10;Investor;hierarchy digital Neck;synthesize Grocery;55135
